original_address,used_variant,lat,lon,result
"Fifth St & Bent St, Cambridge, MA","Fifth St & Bent St, Cambridge, MA",42.367365,-71.084096,PostGIS: Intersection fifth st & bent st
"Oxford Ave & Wendell St, Cambridge, MA","Oxford Ave & Wendell St, Cambridge, MA",42.378956,-71.155058,PostGIS: False intersection oxford ave & wendell st
"100 Scott St, Cambridge, MA","100 Scott St, Cambridge, MA",42.37990828916857,-71.10912139095106,Nominatim match
"Massachusetts Ave & Day St, Cambridge, MA","Massachusetts Ave & Day St, Cambridge, MA",42.3939413,-71.1264234,PostGIS: Intersection massachusetts ave & day st
"Cambridge St & Fulkerson St, Cambridge, MA","Cambridge St & Fulkerson St, Cambridge, MA",42.3719305,-71.0868754,PostGIS: Intersection cambridge st & fulkerson st
"0 Belvidere Pl, Cambridge, MA","0 Belvidere Pl, Cambridge, MA",42.367869624287174,-71.1104659064313,Nominatim match
"Hingham St & Putnam Ave, Cambridge, MA","Hingham St & Putnam Ave, Cambridge, MA",42.3651132839078,-71.11380323934736,PostGIS: Intersection hingham st & putnam ave
"Crescent St & Sacramento St, Cambridge, MA","Crescent St & Sacramento St, Cambridge, MA",42.382555,-71.113968,PostGIS: Intersection crescent st & sacramento st
"Appleton St & Concord Ave, Cambridge, MA","Appleton St & Concord Ave, Cambridge, MA",42.383355,-71.133038,PostGIS: Intersection appleton st & concord ave
"Middlesex St & Middlesex St, Cambridge, MA","Middlesex St & Middlesex St, Cambridge, MA",42.425286,-71.0692388,PostGIS: Intersection middlesex st & middlesex st
"Elmer St & Hingham St, Cambridge, MA","Elmer St & Hingham St, Cambridge, MA",42.3651426,-71.1143573,PostGIS: Intersection elmer st & hingham st
"0 Cleveland St, Cambridge, MA","0 Cleveland St, Cambridge, MA",42.37168447475691,-71.10974105904762,Nominatim match
"0 Langdon Sq, Cambridge, MA","0 Langdon Sq, Cambridge, MA",42.380628341054916,-71.1218676181172,Nominatim match
"Third St & Broadway, Cambridge, MA","Third St & Broadway, Cambridge, MA",42.3627158,-71.0843304,PostGIS: Intersection third st & broadway
"Inman St & Broadway, Cambridge, MA","Inman St & Broadway, Cambridge, MA",42.370076,-71.1029281,PostGIS: Intersection inman st & broadway
"Clement Morgan Park & Columbia St, Cambridge, MA","Clement G. Morgan Park & Columbia Street, Cambridge, MA",42.36485896964904,-71.0986150906252,PostGIS: Buffer intersection clement g. morgan park & columbia street
"Lincoln St & Elm St, Cambridge, MA","Lincoln St & Elm St, Cambridge, MA",42.371656,-71.096169,PostGIS: Intersection lincoln st & elm st
"Pleasant St & Massachusetts Ave, Cambridge, MA","Pleasant St & Massachusetts Ave, Cambridge, MA",42.3664209,-71.1053999,PostGIS: Intersection pleasant st & massachusetts ave
"Malcolm Rd & Standish St, Cambridge, MA","Malcolm Road & Standish Street, Cambridge, MA",42.381782,-71.13899,PostGIS: Intersection malcolm road & standish street
"9700 Massachusetts Ave, Cambridge, MA","9700 Massachusetts Ave, Cambridge, MA",42.37238294373075,-71.11581097026317,Nominatim match
